Engine Correlation,Opponent Rating, Title,,"Note: * = rating unknown, minus 400 of Keymer"
24,2607,Grandmaster,,
49,2671,Grandmaster,,
68,2599,Grandmaster,,
56,2658,Grandmaster,,
69,2628,Grandmaster,,
69,2626,Grandmaster,,
57,2608,Grandmaster,,
68,2631,Grandmaster,,
62,2648,Grandmaster,,
73,2699,Grandmaster,,
42,2675,Grandmaster,,
85,2630,Grandmaster,,
64,2620,Grandmaster,,
57,2581,Grandmaster,,
25,2658,Grandmaster,,
66,2202*,None,,
85,2466,International Master,,
38,2643,Grandmaster,,
66,2455,International Master,,
64,2441,International Master,,
62,2617,Grandmaster,,
49,2675,Grandmaster,,
55,2597,Grandmaster,,
100,2630,Grandmaster,,
57,2691,Grandmaster,,
65,2550,Grandmaster,,
62,2684,Grandmaster,,
66,2652,Grandmaster,,
72,2626,Grandmaster,,
46,2666,Grandmaster,,
46,2704,Grandmaster,,
78,2700,Grandmaster,,
80,2686,Grandmaster,,
69,2664,Grandmaster,,
60,2691,Grandmaster,,
56,2662,Grandmaster,,
66,2606,Grandmaster,,
57,2691,Grandmaster,,
89,2710,Grandmaster,,
62,2658,Grandmaster,,
48,2673,Grandmaster,,
74,2624,Grandmaster,,
30,2369,FIDE Master,,
51,2634,Grandmaster,,
73,2553,Grandmaster,,
42,2570,Grandmaster,,
26,2720,Grandmaster,,
69,2727,Grandmaster,,
50,2772,Grandmaster,,
39,2772,Grandmaster,,
75,2727,Grandmaster,,
36,2776,Grandmaster,,
69,2756,Grandmaster,,
89,2711,Grandmaster,,
76,2776,Grandmaster,,
58,2711,Grandmaster,,
94,2756,Grandmaster,,
51,2564,Grandmaster,,
53,2635,Grandmaster,,
82,2598,Grandmaster,,
69,2678,Grandmaster,,
61,2577,Grandmaster,,
58,2535,Grandmaster,,
45,2661,Grandmaster,,
52,2541,Grandmaster,,
63,2613,Grandmaster,,
51,2623,Grandmaster,,
87,2501,Grandmaster,,
72,2484,International Master,,
70,2509,Grandmaster,,
60,2675,Grandmaster,,
70,2430,International Master,,
55,2638,Grandmaster,,
65,2614,Grandmaster,,
76,2688,Grandmaster,,
79,2655,Grandmaster,,
84,2783,Grandmaster,,
47,2682,Grandmaster,,
70,2655,Grandmaster,,
60,2688,Grandmaster,,
54,2722,Grandmaster,,
64,2684,Grandmaster,,
70,2684,Grandmaster,,
33,2664,Grandmaster,,
79,2400,Grandmaster,,
86,2498,International Master,,
55,2584,Grandmaster,,
69,2620,Grandmaster,,
39,2688,Grandmaster,,
69,2561,International Master,,
65,2551,Grandmaster,,
51,2684,Grandmaster,,
49,2433,FIDE Master,,
67,2594,Grandmaster,,
86,2557,Grandmaster,,
55,2607,Grandmaster,,
100,2606,Grandmaster,,
82,2640,Grandmaster,,
67,2643,Grandmaster,,
51,2464,International Master,,
61,2547,FIDE Master,,
51,2549,Grandmaster,,
41,2645,Grandmaster,,
65,2623,Grandmaster,,
56,2364,International Master,,
81,2651,Grandmaster,,
83,2613,Grandmaster,,
57,2614,Grandmaster,,
50,2620,Grandmaster,,
50,2582,Grandmaster,,