Engine Correlation,Opponent Rating, Title,,"Note: * = rating unknown, minus 400 of Magnus"
74,2726,Grandmaster,,
84,2712,Grandmaster,,
66,2644,Grandmaster,,
79,2683,Grandmaster,,
57,2758,Grandmaster,,
52,2747,Grandmaster,,
77,2723,Grandmaster,,
75,2660,Grandmaster,,
83,2758,Grandmaster,,
63,2731,Grandmaster,,
86,2765,Grandmaster,,
83,2767,Grandmaster,,
61,2728,Grandmaster,,
71,2633,Grandmaster,,
80,2757,Grandmaster,,
46,2828,Grandmaster,,
70,2728,Grandmaster,,
72,2633,Grandmaster,,
74,2828,Grandmaster,,
48,2757,Grandmaster,,
72,2749,Grandmaster,,
66,2679,Grandmaster,,
53,2625,Grandmaster,,
63,2671,Grandmaster,,
58,2668,Grandmaster,,
58,2743,Grandmaster,,
63,2677,Grandmaster,,
76,2663,Grandmaster,,
80,2823,Grandmaster,,
45,2764,Grandmaster,,
100,2705,Grandmaster,,
91,2784,Grandmaster,,
85,2548,Grandmaster,,
80,2548,Grandmaster,,
75,2639,Grandmaster,,
62,2639,Grandmaster,,
58,2691,Grandmaster,,
57,2691,Grandmaster,,
54,2716,Grandmaster,,
49,2678,Grandmaster,,
59,2678,Grandmaster,,
70,2738,Grandmaster,,
63,2738,Grandmaster,,
81,2696,Grandmaster,,
79,2696,Grandmaster,,
74,2754,Grandmaster,,
66,2642,Grandmaster,,
65,2792,Grandmaster,,
50,2758,Grandmaster,,
76,2754,Grandmaster,,
76,2642,Grandmaster,,
66,2760,Grandmaster,,
54,2758,Grandmaster,,
64,2792,Grandmaster,,
48,2455*,FIDE Master,,
68,2455*,International Master,,
59,2762,Grandmaster,,
67,2782,Grandmaster,,
62,2782,Grandmaster,,
85,2782,Grandmaster,,
78,2782,Grandmaster,,
56,2782,Grandmaster,,
89,2782,Grandmaster,,
69,2782,Grandmaster,,
76,2782,Grandmaster,,
73,2782,Grandmaster,,
72,2782,Grandmaster,,
83,2772,Grandmaster,,
85,2760,Grandmaster,,
60,2702,Grandmaster,,
57,2672,Grandmaster,,
62,2763,Grandmaster,,
58,2612,Grandmaster,,
87,2708,Grandmaster,,
100,2767,Grandmaster,,
41,2727,Grandmaster,,
68,2792,Grandmaster,,
54,2744,Grandmaster,,
56,2766,Grandmaster,,
69,2753,Grandmaster,,
81,2761,Grandmaster,,
56,2751,Grandmaster,,
86,2770,Grandmaster,,
75,2654,Grandmaster,,
49,2750,Grandmaster,,
49,2730,Grandmaster,,
48,2613,Grandmaster,,
68,2616,Grandmaster,,
91,2518,Grandmaster,,
85,2464*,International Master,,
65,2600,Grandmaster,,
80,2412,Grandmaster,,
78,2594,Grandmaster,,
78,2529,Grandmaster,,
74,2490,International Master,,
77,2792,Grandmaster,,
75,2759,Grandmaster,,
46,2688,Grandmaster,,